participant_id,block,condition,preset_id
5344J,A,V,5344J_A_20260105_171136
5220H,A,V,5220H_A_20260105_193742
1661J,A,V,1661J_A_20260106_121539
3483M,A,V,3483M_A_20260106_161426
4939Z,A,V,4939Z_A_20260106_191240
4069S,A,V,4069S_A_20260107_122146
6770L,A,V,6770L_A_20260107_145301
7974C,A,V,7974C_A_20260107_183124
5344J,B,A,5344J_B_20260105_173052
5220H,B,A,5220H_B_20260105_202728
1661J,B,A,1661J_B_20260106_115745
3483M,B,A,3483M_B_20260106_152253
4939Z,B,A,4939Z_B_20260106_193739
4069S,B,A,4069S_B_20260107_120428
6770L,B,A,6770L_B_20260107_152025
7974C,B,A,7974C_B_20260107_175852
5344J,C,AV,5344J_C_20260105_174959
5220H,C,AV,5220H_C_20260105_200917
1661J,C,AV,1661J_C_20260106_123103
3483M,C,AV,3483M_C_20260106_155603
4939Z,C,AV,4939Z_C_20260106_184729
4069S,C,AV,4069S_C_20260107_114624
6770L,C,AV,6770L_C_20260107_154534
7974C,C,AV,7974C_C_20260107_190342
