item,pair,n,stat,p,p_holm
A_1,A-B,9,19.5,0.83203125,0.83203125
A_1,A-C,9,8.5,0.8125,0.83203125
A_1,B-C,9,10.5,0.34375,0.83203125
A_2,A-B,9,1.0,0.0625,0.125
A_2,A-C,9,4.0,0.0625,0.125
A_2,B-C,9,16.0,0.515625,0.515625
A_3,A-B,9,4.0,0.0546875,0.109375
A_3,A-C,9,6.0,0.53125,0.53125
A_3,B-C,9,0.0,0.03125,0.09375
A_4,A-B,9,12.0,0.4921875,0.984375
A_4,A-C,9,10.5,1.0,1.0
A_4,B-C,9,8.0,0.40625,0.984375
A_5,A-B,9,4.0,1.0,1.0
A_5,A-C,9,5.0,0.0859375,0.171875
A_5,B-C,9,2.0,0.0625,0.171875
A_6,A-B,9,15.5,0.8046875,0.859375
A_6,A-C,9,15.0,0.38671875,0.859375
A_6,B-C,9,12.0,0.859375,0.859375
A_7,A-B,9,2.0,0.0625,0.1875
A_7,A-C,9,8.0,0.625,0.625
A_7,B-C,9,5.0,0.15625,0.3125
B_1,A-B,9,6.0,0.109375,0.25
B_1,A-C,9,4.0,0.125,0.25
B_1,B-C,9,9.0,1.0,1.0
B_2,A-B,9,10.0,1.0,1.0
B_2,A-C,9,7.0,1.0,1.0
B_2,B-C,9,7.0,1.0,1.0
B_3,A-B,9,6.0,0.40625,0.65625
B_3,A-C,9,0.0,0.25,0.65625
B_3,B-C,9,7.5,0.65625,0.65625
B_4,A-B,9,6.0,0.53125,1.0
B_4,A-C,9,12.0,0.828125,1.0
B_4,B-C,9,4.5,1.0,1.0
B_5,A-B,9,13.0,1.0,1.0
B_5,A-C,9,6.0,0.8125,1.0
B_5,B-C,9,8.5,0.75,1.0
B_6,A-B,9,6.0,0.4375,1.0
B_6,A-C,9,10.5,1.0,1.0
B_6,B-C,9,2.5,0.5,1.0
B_7,A-B,9,3.0,0.625,0.84375
B_7,A-C,9,6.0,0.265625,0.796875
B_7,B-C,9,9.0,0.84375,0.84375
B_8,A-B,9,14.0,0.6328125,0.6328125
B_8,A-C,9,10.5,0.34375,0.6328125
B_8,B-C,9,11.0,0.3828125,0.6328125
B_9,A-B,9,7.5,0.65625,0.65625
B_9,A-C,9,10.0,0.5625,0.65625
B_9,B-C,9,9.5,0.3046875,0.65625
B_10,A-B,9,10.5,0.765625,0.78125
B_10,A-C,9,8.0,0.78125,0.78125
B_10,B-C,9,6.0,0.5,0.78125
B_11,A-B,9,0.0,0.00390625,0.01171875
B_11,A-C,9,0.0,0.03125,0.03125
B_11,B-C,9,2.5,0.015625,0.03125
B_12,A-B,9,1.5,0.1875,0.375
B_12,A-C,9,1.0,0.125,0.375
B_12,B-C,9,1.0,0.5,0.5
