Item,Item label,Condition,Condition label,N,"Median [Q1, Q3]"
A_1,A1 satisfaction,A,Visual Only,9,"5.00 [4.00, 6.00]"
A_1,A1 satisfaction,B,Audio Only,9,"6.00 [4.00, 6.00]"
A_1,A1 satisfaction,C,Audiovisual,9,"6.00 [5.00, 6.00]"
A_3,A3 steerability,A,Visual Only,9,"6.00 [4.00, 6.00]"
A_3,A3 steerability,B,Audio Only,9,"4.00 [3.00, 5.00]"
A_3,A3 steerability,C,Audiovisual,9,"5.00 [5.00, 5.00]"
A_5,A5 useful surprise,A,Visual Only,9,"5.00 [4.00, 6.00]"
A_5,A5 useful surprise,B,Audio Only,9,"5.00 [4.00, 6.00]"
A_5,A5 useful surprise,C,Audiovisual,9,"6.00 [5.00, 6.00]"
A_6,A6 frustrating unpredictability,A,Visual Only,9,"3.00 [2.00, 4.00]"
A_6,A6 frustrating unpredictability,B,Audio Only,9,"3.00 [2.00, 5.00]"
A_6,A6 frustrating unpredictability,C,Audiovisual,9,"4.00 [3.00, 4.00]"
B_1,B1 same-process,A,Visual Only,9,"4.00 [3.00, 6.00]"
B_1,B1 same-process,B,Audio Only,9,"6.00 [6.00, 7.00]"
B_1,B1 same-process,C,Audiovisual,9,"6.00 [6.00, 6.00]"
B_10,B10 system autonomy,A,Visual Only,9,"4.00 [3.00, 5.00]"
B_10,B10 system autonomy,B,Audio Only,9,"4.00 [3.00, 5.00]"
B_10,B10 system autonomy,C,Audiovisual,9,"5.00 [2.00, 5.00]"
B_3,B3 coherent/legible relationship,A,Visual Only,9,"6.00 [5.00, 6.00]"
B_3,B3 coherent/legible relationship,B,Audio Only,9,"6.00 [5.00, 7.00]"
B_3,B3 coherent/legible relationship,C,Audiovisual,9,"6.00 [6.00, 6.00]"
B_4,B4 constructive interference,A,Visual Only,9,"6.00 [5.00, 7.00]"
B_4,B4 constructive interference,B,Audio Only,9,"6.00 [6.00, 7.00]"
B_4,B4 constructive interference,C,Audiovisual,9,"6.00 [6.00, 7.00]"
B_5,B5 destructive interference,A,Visual Only,9,"2.00 [1.00, 4.00]"
B_5,B5 destructive interference,B,Audio Only,9,"2.00 [1.00, 3.00]"
B_5,B5 destructive interference,C,Audiovisual,9,"2.00 [2.00, 4.00]"
B_6,B6 overload,A,Visual Only,9,"2.00 [1.00, 2.00]"
B_6,B6 overload,B,Audio Only,9,"2.00 [2.00, 3.00]"
B_6,B6 overload,C,Audiovisual,9,"2.00 [2.00, 2.00]"
